year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1970's,CHANGING STREAMS,Compost,0.419,0.76,-8.969,0.079,0.0717,0.00905,0.655,159.369
1970's,Can I Get A Witness,Lee Michaels,0.654,0.82,-9.006,0.0565,0.212,3.81e-06,0.909,139.075
1970's,Being friendly,Stefano Torossi,0.356,0.454,-13.198,0.0287,0.039,0.391,0.344,107.324
1970's,Boogie Woogie Bugle Boy,Bette Midler,0.658,0.647,-6.787,0.137,0.659,0,0.825,98.49
1970's,I'll Make You Music,Beverly Bremers,0.465,0.398,-13.718,0.0309,0.597,3.5e-06,0.661,116.182
1970's,Skin Tight,Ohio Players,0.828,0.611,-12.749,0.0393,0.0399,0.0116,0.835,110.169
1970's,Try Again,Big Star,0.463,0.231,-11.451,0.0271,0.629,0.000499,0.117,133.46
1970's,What'll We Do With The Baby?,Mike Seeger,0.709,0.00757,-29.34,0.172,0.969,0.00305,0.907,98.629
1970's,California My Way,The Main Ingredient,0.634,0.785,-7.683,0.035,0.485,0.012,0.933,94.682
1970's,Veio D'Àgua,Elba Ramalho,0.423,0.842,-7.725,0.123,0.809,0.000156,0.451,135.079
1970's,Somethin' 'bout 'cha,Latimore,0.543,0.725,-6.298,0.0778,0.827,7.53e-05,0.782,107.526
1970's,Achilipu,Las Grecas,0.599,0.771,-7.966,0.0654,0.423,0,0.726,104.03
1970's,Mi Inspiración - Instrumental,Paco de Lucía,0.374,0.586,-9.303,0.032,0.821,0.781,0.638,112.251
1970's,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,0.335,0.303,-10.943,0.0315,0.932,0.0271,0.186,114.224
1970's,If I Needed You,Doc & Merle Watson,0.601,0.386,-12.108,0.0324,0.884,0.00763,0.587,91.608
1970's,Very Well Dub,Wailing Souls,0.868,0.34,-15.655,0.104,0.00194,0.342,0.786,124.076
1970's,I.O.D.,U.K. Subs,0.391,0.726,-7.799,0.0289,0.00114,0.0279,0.703,98.358
1970's,Down in Mississippi,J.B. Lenoir,0.667,0.485,-9.318,0.0291,0.809,0.000168,0.779,152.371
1970's,Hotel California,Eagles,0.579,0.508,-9.484,0.027,0.00574,0.000494,0.609,147.125
1970's,Vai Trabalhar Vagabundo - Ao Vivo,MPB4,0.533,0.447,-9.211,0.11,0.779,2.06e-05,0.506,96.309
1970's,(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram,0.502,0.451,-7.423,0.0438,0.283,0,0.531,140.474
1970's,Happy Anniversary,Little River Band,0.72,0.584,-10.037,0.0421,0.592,7.49e-06,0.914,128.871
1970's,Mit Pfefferminz bin ich dein Prinz,Westernhagen,0.73,0.62,-12.556,0.0426,0.634,0.000325,0.97,143.034
1970's,Love Gonna Pack Up (And Walk Out),The Persuaders,0.647,0.443,-11.263,0.0486,0.525,0,0.77,133.296
1970's,Concrete Parachute - Instrumental,Stefan Grossman,0.519,0.334,-11.614,0.0347,0.223,0.925,0.0866,93.072
1970's,Y.M.C.A.,Village People,0.75,0.785,-10.926,0.0591,0.0278,0,0.752,126.361
1970's,"Fé Cega, Faca Amolada - Ao Vivo",MPB4,0.489,0.908,-8.288,0.101,0.245,1.51e-05,0.808,149.496
1970's,Here Comes That Rainy Day Feeling Again,The Fortunes,0.754,0.708,-8.119,0.0585,0.351,0,0.804,120.895
1970's,My Baby's Baby,Liquid Gold,0.777,0.608,-11.725,0.0733,0.0341,0.31,0.803,131.163
1970's,Ridin' My Thumb To Mexico,Johnny Rodriguez,0.628,0.321,-9.718,0.0292,0.972,1.01e-05,0.666,90.259
1970's,No One Receiving - 2004 Digital Remaster,Brian Eno,0.641,0.789,-12.803,0.154,0.127,0.000218,0.548,107.672
